Customer_id,Call_Opened,Call_Closed,Case_Number,Resolution,Call_Type,Call_Type_Sub_Category
26,6/21/2018,6/21/2018,22888213,Contact,Customer Success,Walkthrough
27,6/25/2018,6/25/2018,22894872,Contact,Customer Success,Walkthrough
28,6/21/2018,6/27/2018,22887397,Contact,Customer Success,Walkthrough
29,6/14/2018,6/18/2018,22864604,Contact,Customer Success,Walkthrough
30,6/22/2018,6/22/2018,22890831,Contact,Customer Success,Walkthrough
31,6/15/2018,6/28/2018,22868826,Contact,Customer Success,Walkthrough
32,6/25/2018,6/27/2018,22898496,Contact,Customer Success,Walkthrough
33,6/19/2018,6/19/2018,22878581,Contact,Customer Success,Walkthrough
34,6/14/2018,6/20/2018,22864441,Contact,Customer Success,Walkthrough
35,6/12/2018,6/21/2018,22856443,Contact,Customer Success,Walkthrough
36,8/2/2018,8/16/2018,23024255,Reachback,Customer Success,Walkthrough
37,6/20/2018,6/20/2018,22881577,Contact,Customer Success,Walkthrough
38,6/20/2018,6/22/2018,22883529,Reachback,Customer Success,Walkthrough
39,6/13/2018,6/21/2018,22857193,Contact,Customer Success,Walkthrough
40,6/12/2018,6/20/2018,22853709,Contact,Customer Success,Walkthrough
41,6/25/2018,6/27/2018,22898812,Contact,Customer Success,Walkthrough
42,8/8/2018,8/13/2018,23048873,Contact,Customer Success,Walkthrough
43,6/14/2018,6/20/2018,22864721,Contact,Customer Success,Walkthrough
44,6/13/2018,6/22/2018,22857776,Contact,Customer Success,Walkthrough
45,6/15/2018,6/27/2018,22866450,Contact,Customer Success,Walkthrough
46,6/13/2018,6/21/2018,22858238,Contact,Customer Success,Walkthrough
47,6/15/2018,6/27/2018,22866946,Contact,Customer Success,Walkthrough
48,6/13/2018,6/21/2018,22860626,Contact,Customer Success,Walkthrough
49,6/20/2018,6/29/2018,22883235,Contact,Customer Success,Walkthrough
50,6/21/2018,6/29/2018,22884922,Contact,Customer Success,Walkthrough
51,6/15/2018,6/27/2018,22866926,Contact,Customer Success,Walkthrough
52,6/12/2018,6/25/2018,22855717,Contact,Customer Success,Walkthrough
53,6/12/2018,6/25/2018,22853702,Contact,Customer Success,Walkthrough
54,6/12/2018,6/21/2018,22854679,Contact,Customer Success,Walkthrough
55,6/13/2018,7/9/2018,22857204,Contact,Customer Success,Walkthrough
56,6/12/2018,6/20/2018,22855902,Contact,Customer Success,Walkthrough
57,8/9/2018,8/14/2018,23059963,Contact,Customer Success,Walkthrough
58,6/13/2018,6/18/2018,22858918,Contact,Customer Success,Walkthrough
59,6/13/2018,6/28/2018,22859923,Contact,Customer Success,Walkthrough
60,6/25/2018,6/25/2018,22895955,Reachback,Customer Success,Walkthrough
61,6/15/2018,6/25/2018,22867144,Contact,Customer Success,Walkthrough
62,6/18/2018,6/26/2018,22873001,Contact,Customer Success,Walkthrough
63,6/11/2018,6/19/2018,22850704,Contact,Customer Success,Walkthrough
64,6/28/2018,6/29/2018,22913030,Contact,Customer Success,Walkthrough
65,7/19/2018,7/19/2018,22973542,Contact,Customer Success,Walkthrough
66,6/29/2018,7/11/2018,22915796,Contact,Customer Success,Walkthrough
67,6/14/2018,6/21/2018,22864663,Contact,Customer Success,Walkthrough
68,6/12/2018,6/20/2018,22855104,Contact,Customer Success,Walkthrough
69,6/20/2018,6/20/2018,22883534,Contact,Customer Success,Walkthrough
70,6/17/2018,6/21/2018,22870436,Contact,Customer Success,Walkthrough
71,6/15/2018,6/21/2018,22866631,Contact,Customer Success,Walkthrough
72,6/15/2018,6/25/2018,22868819,Contact,Customer Success,Walkthrough
73,6/19/2018,6/28/2018,22878677,Contact,Customer Success,Walkthrough
74,6/13/2018,6/21/2018,22858295,Contact,Customer Success,Walkthrough
75,6/25/2018,7/5/2018,22897872,Contact,Customer Success,Walkthrough
76,6/13/2018,6/25/2018,22858656,Contact,Customer Success,Walkthrough
77,6/18/2018,6/28/2018,22873951,Contact,Customer Success,Walkthrough
78,6/15/2018,6/26/2018,22867614,Contact,Customer Success,Walkthrough
79,6/15/2018,7/9/2018,22866798,Contact,Customer Success,Walkthrough
80,6/13/2018,7/5/2018,22860435,Reachback,Customer Success,Walkthrough
81,7/18/2018,7/24/2018,22969708,Contact,Customer Success,Walkthrough
82,6/14/2018,6/26/2018,22864424,Contact,Customer Success,Walkthrough
83,6/14/2018,6/25/2018,22863890,Contact,Customer Success,Walkthrough
84,6/12/2018,7/12/2018,22854166,Contact,Customer Success,Walkthrough
85,6/12/2018,6/19/2018,22856709,Contact,Customer Success,Walkthrough
86,6/22/2018,6/22/2018,22892263,Contact,Customer Success,Walkthrough
87,6/12/2018,6/20/2018,22855855,Contact,Customer Success,Walkthrough
88,6/21/2018,6/21/2018,22888148,Contact,Customer Success,Walkthrough
89,6/27/2018,6/27/2018,22906326,Contact,Customer Success,Walkthrough
90,6/13/2018,6/19/2018,22859743,Contact,Customer Success,Walkthrough
91,6/13/2018,6/21/2018,22860243,Contact,Customer Success,Walkthrough
92,6/14/2018,6/21/2018,22863230,Contact,Customer Success,Walkthrough
93,6/13/2018,6/22/2018,22860613,Contact,Customer Success,Walkthrough
94,6/14/2018,6/25/2018,22865043,Contact,Customer Success,Walkthrough
95,6/28/2018,7/10/2018,22910785,Contact,Customer Success,Walkthrough
96,6/25/2018,6/25/2018,22898254,Contact,Customer Success,Walkthrough
97,6/12/2018,6/20/2018,22856734,Contact,Customer Success,Walkthrough
98,7/3/2018,7/3/2018,22924797,Contact,Customer Success,Walkthrough
99,6/13/2018,6/21/2018,22857190,Contact,Customer Success,Walkthrough
100,6/25/2018,6/25/2018,22895303,Contact,Customer Success,Walkthrough
101,6/28/2018,7/25/2018,22912941,Contact,Customer Success,Walkthrough
102,6/20/2018,6/21/2018,22880211,Contact,Customer Success,Walkthrough
103,6/14/2018,6/22/2018,22863183,Contact,Customer Success,Walkthrough
104,6/14/2018,6/20/2018,22864939,Contact,Customer Success,Walkthrough
105,6/14/2018,6/22/2018,22863162,Contact,Customer Success,Walkthrough
106,7/9/2018,7/9/2018,22938528,Contact,Customer Success,Walkthrough
107,6/14/2018,6/22/2018,22863463,Contact,Customer Success,Walkthrough
108,7/19/2018,7/20/2018,22973565,Contact,Customer Success,Walkthrough
109,6/25/2018,6/25/2018,22895081,Contact,Customer Success,Walkthrough
110,7/17/2018,7/17/2018,22964524,Contact,Customer Success,Walkthrough
111,6/14/2018,6/25/2018,22864105,Contact,Customer Success,Walkthrough
112,6/25/2018,6/25/2018,22895503,Contact,Customer Success,Walkthrough
113,6/18/2018,6/25/2018,22870792,Contact,Customer Success,Walkthrough
114,6/25/2018,7/9/2018,22898197,Contact,Customer Success,Walkthrough
115,6/18/2018,6/26/2018,22870794,Contact,Customer Success,Walkthrough
116,6/19/2018,6/28/2018,22879190,Contact,Customer Success,Walkthrough
117,6/25/2018,6/26/2018,22898579,Contact,Customer Success,Walkthrough
118,6/25/2018,7/9/2018,22895405,Contact,Customer Success,Walkthrough
119,6/20/2018,6/26/2018,22883976,Contact,Customer Success,Walkthrough
120,6/18/2018,6/27/2018,22874289,Contact,Customer Success,Walkthrough
121,6/14/2018,6/25/2018,22865289,Contact,Customer Success,Walkthrough
122,6/14/2018,6/25/2018,22864588,Contact,Customer Success,Walkthrough
123,6/18/2018,6/25/2018,22874285,Contact,Customer Success,Walkthrough
124,6/15/2018,6/22/2018,22867012,Contact,Customer Success,Walkthrough
125,7/2/2018,7/2/2018,22921652,Contact,Customer Success,Walkthrough
126,6/21/2018,7/12/2018,22888866,Reachback,Customer Success,Walkthrough
127,7/16/2018,7/16/2018,22959667,Contact,Customer Success,Walkthrough
128,6/14/2018,7/31/2018,22864577,Contact,Customer Success,Walkthrough
129,6/25/2018,6/25/2018,22895014,Contact,Customer Success,Walkthrough
130,6/18/2018,7/10/2018,22874500,Contact,Customer Success,Walkthrough
131,6/19/2018,6/26/2018,22877520,Contact,Customer Success,Walkthrough
132,6/18/2018,6/26/2018,22872914,Contact,Customer Success,Walkthrough
133,6/15/2018,6/25/2018,22866438,Contact,Customer Success,Walkthrough
134,6/25/2018,6/27/2018,22898789,Contact,Customer Success,Walkthrough
135,6/21/2018,6/27/2018,22886860,Contact,Customer Success,Walkthrough
136,6/25/2018,6/25/2018,22895029,Contact,Customer Success,Walkthrough
137,6/25/2018,6/25/2018,22895554,Contact,Customer Success,Walkthrough
138,6/15/2018,6/26/2018,22868759,Contact,Customer Success,Walkthrough
139,6/25/2018,6/26/2018,22898866,Contact,Customer Success,Walkthrough
140,6/21/2018,6/29/2018,22884901,Contact,Customer Success,Walkthrough
141,6/20/2018,7/3/2018,22882151,Contact,Customer Success,Walkthrough
142,6/19/2018,6/28/2018,22875800,Contact,Customer Success,Walkthrough
143,6/19/2018,6/26/2018,22876374,Contact,Customer Success,Walkthrough
144,6/18/2018,7/5/2018,22871556,Contact,Customer Success,Walkthrough
145,6/22/2018,7/3/2018,22891122,Contact,Customer Success,Walkthrough
146,7/5/2018,7/31/2018,22929813,Contact,Customer Success,Walkthrough
147,6/14/2018,6/25/2018,22863949,Contact,Customer Success,Walkthrough
148,6/22/2018,6/22/2018,22891075,Contact,Customer Success,Walkthrough
149,6/14/2018,7/5/2018,22864614,Reachback,Customer Success,Walkthrough
150,6/15/2018,6/26/2018,22867153,Contact,Customer Success,Walkthrough
151,6/15/2018,6/26/2018,22869525,Contact,Customer Success,Walkthrough
152,6/27/2018,6/27/2018,22905210,Contact,Customer Success,Walkthrough
153,6/15/2018,6/26/2018,22867801,Contact,Customer Success,Walkthrough
154,6/19/2018,6/28/2018,22877353,Contact,Customer Success,Walkthrough
155,6/21/2018,7/10/2018,22885513,Contact,Customer Success,Walkthrough
156,6/20/2018,7/19/2018,22881164,Contact,Customer Success,Walkthrough
157,6/18/2018,6/26/2018,22874114,Contact,Customer Success,Walkthrough
158,6/19/2018,6/28/2018,22877508,Contact,Customer Success,Walkthrough
159,6/26/2018,7/10/2018,22901322,Contact,Customer Success,Walkthrough
160,6/20/2018,6/29/2018,22882465,Contact,Customer Success,Walkthrough
161,6/14/2018,8/20/2018,22864957,Contact,Customer Success,Walkthrough
162,6/18/2018,6/28/2018,22870797,Contact,Customer Success,Walkthrough
163,6/15/2018,6/26/2018,22869527,Contact,Customer Success,Walkthrough
164,7/3/2018,7/6/2018,22924970,Contact,Customer Success,Walkthrough
165,7/13/2018,7/24/2018,22957090,Contact,Customer Success,Walkthrough
166,6/15/2018,7/3/2018,22869060,Contact,Customer Success,Walkthrough
167,6/20/2018,6/22/2018,22881829,Contact,Customer Success,Walkthrough
168,6/26/2018,6/26/2018,22903611,Contact,Customer Success,Walkthrough
169,6/18/2018,6/26/2018,22874623,Contact,Customer Success,Walkthrough
170,6/20/2018,6/27/2018,22881786,Contact,Customer Success,Walkthrough
171,6/19/2018,6/28/2018,22878995,Contact,Customer Success,Walkthrough
172,7/13/2018,7/19/2018,22957059,Contact,Customer Success,Walkthrough
173,6/29/2018,6/29/2018,22917309,Contact,Customer Success,Walkthrough
174,6/19/2018,6/27/2018,22876156,Contact,Customer Success,Walkthrough
175,6/15/2018,7/3/2018,22869318,Reachback,Customer Success,Walkthrough
176,6/18/2018,7/10/2018,22871055,Contact,Customer Success,Walkthrough
177,6/20/2018,6/28/2018,22880935,Contact,Customer Success,Walkthrough
178,6/15/2018,6/29/2018,22868465,Contact,Customer Success,Walkthrough
179,6/18/2018,6/26/2018,22872793,Contact,Customer Success,Walkthrough
180,6/18/2018,6/26/2018,22873134,Contact,Customer Success,Walkthrough
181,7/12/2018,7/12/2018,22954304,Contact,Customer Success,Walkthrough
182,6/19/2018,6/28/2018,22878496,Contact,Customer Success,Walkthrough
183,6/25/2018,7/10/2018,22894599,Contact,Customer Success,Walkthrough
184,6/19/2018,7/9/2018,22879184,Reachback,Customer Success,Walkthrough
185,7/20/2018,7/25/2018,22980241,Contact,Customer Success,Walkthrough
186,6/15/2018,6/28/2018,22869521,Contact,Customer Success,Walkthrough
187,6/25/2018,6/25/2018,22895939,Contact,Customer Success,Walkthrough
188,6/15/2018,7/2/2018,22866413,Contact,Customer Success,Walkthrough
189,6/28/2018,6/29/2018,22912424,Contact,Customer Success,Walkthrough
190,6/19/2018,6/21/2018,22879084,Contact,Customer Success,Walkthrough
191,6/25/2018,6/25/2018,22897869,Contact,Customer Success,Walkthrough
192,6/18/2018,6/26/2018,22871214,Contact,Customer Success,Walkthrough
193,6/19/2018,6/27/2018,22877470,Contact,Customer Success,Walkthrough
194,6/20/2018,7/11/2018,22884050,Contact,Customer Success,Walkthrough
195,6/19/2018,6/26/2018,22875961,Contact,Customer Success,Walkthrough
196,6/20/2018,6/28/2018,22881129,Contact,Customer Success,Walkthrough
197,6/25/2018,7/2/2018,22897943,Contact,Customer Success,Walkthrough
198,6/28/2018,8/2/2018,22909525,Contact,Customer Success,Walkthrough
199,6/15/2018,7/6/2018,22866900,Contact,Customer Success,Walkthrough
200,6/28/2018,6/28/2018,22910739,Contact,Customer Success,Walkthrough
201,6/26/2018,7/9/2018,22901336,Contact,Customer Success,Walkthrough
202,6/15/2018,6/25/2018,22868444,Contact,Customer Success,Walkthrough
203,6/21/2018,7/17/2018,22889487,Contact,Customer Success,Walkthrough
204,6/15/2018,6/26/2018,22868850,Contact,Customer Success,Walkthrough
205,6/28/2018,6/29/2018,22913023,Contact,Customer Success,Walkthrough
206,6/25/2018,7/5/2018,22895239,Contact,Customer Success,Walkthrough
207,6/18/2018,6/26/2018,22871357,Contact,Customer Success,Walkthrough
208,6/19/2018,6/26/2018,22876370,Contact,Customer Success,Walkthrough
209,6/25/2018,6/27/2018,22898794,Contact,Customer Success,Walkthrough
210,7/2/2018,7/2/2018,22922095,Contact,Customer Success,Walkthrough
211,6/20/2018,6/26/2018,22881941,Contact,Customer Success,Walkthrough
212,6/20/2018,7/3/2018,22879994,Contact,Customer Success,Walkthrough
213,6/18/2018,6/26/2018,22871288,Contact,Customer Success,Walkthrough
214,6/25/2018,6/26/2018,22898744,Contact,Customer Success,Walkthrough
215,7/3/2018,8/27/2018,22927134,Reachback,Customer Success,Walkthrough
216,6/25/2018,6/26/2018,22898590,Contact,Customer Success,Walkthrough
217,7/5/2018,7/11/2018,22931839,Contact,Customer Success,Walkthrough
218,6/25/2018,6/27/2018,22894604,Contact,Customer Success,Walkthrough
219,7/2/2018,7/2/2018,22922025,Contact,Customer Success,Walkthrough
220,6/20/2018,6/28/2018,22882162,Contact,Customer Success,Walkthrough
221,6/29/2018,7/9/2018,22917282,Contact,Customer Success,Walkthrough
222,7/3/2018,8/2/2018,22927161,Contact,Customer Success,Walkthrough
223,7/2/2018,7/2/2018,22922966,Contact,Customer Success,Walkthrough
224,6/21/2018,7/16/2018,22884925,Contact,Customer Success,Walkthrough
225,6/27/2018,7/9/2018,22904743,Contact,Customer Success,Walkthrough
226,8/21/2018,8/21/2018,23108824,Contact,Customer Success,Walkthrough
227,6/21/2018,7/2/2018,22884941,Contact,Customer Success,Walkthrough
228,6/22/2018,7/3/2018,22892700,Contact,Customer Success,Walkthrough
229,6/22/2018,9/4/2018,22890659,Contact,Customer Success,Walkthrough
230,6/19/2018,7/10/2018,22875656,Contact,Customer Success,Walkthrough
231,6/26/2018,6/26/2018,22902796,Contact,Customer Success,Walkthrough
232,7/19/2018,7/25/2018,22975681,Contact,Customer Success,Walkthrough
233,6/20/2018,6/28/2018,22879866,Contact,Customer Success,Walkthrough
234,6/20/2018,7/13/2018,22882805,Contact,Customer Success,Walkthrough
235,6/19/2018,6/21/2018,22878686,Contact,Customer Success,Walkthrough
236,6/29/2018,7/11/2018,22917766,Contact,Customer Success,Walkthrough
237,7/5/2018,7/12/2018,22929864,Contact,Customer Success,Walkthrough
238,6/25/2018,7/3/2018,22898624,Contact,Customer Success,Walkthrough
239,6/25/2018,7/9/2018,22898598,Contact,Customer Success,Walkthrough
240,6/21/2018,6/25/2018,22887758,Contact,Customer Success,Walkthrough
241,6/19/2018,6/28/2018,22875893,Contact,Customer Success,Walkthrough
242,8/2/2018,8/7/2018,23020244,Contact,Customer Success,Walkthrough
243,7/17/2018,7/18/2018,22966514,Contact,Customer Success,Walkthrough
244,6/21/2018,7/13/2018,22887388,Contact,Customer Success,Walkthrough
245,6/20/2018,6/28/2018,22880206,Reachback,Customer Success,Walkthrough
246,6/29/2018,6/29/2018,22915688,Contact,Customer Success,Walkthrough
247,6/20/2018,7/24/2018,22883156,Contact,Customer Success,Walkthrough
248,6/20/2018,6/29/2018,22884066,Contact,Customer Success,Walkthrough
249,7/2/2018,7/16/2018,22919963,Contact,Customer Success,Walkthrough
250,7/6/2018,7/6/2018,22934327,Contact,Customer Success,Walkthrough
251,6/20/2018,6/28/2018,22882814,Contact,Customer Success,Walkthrough
252,6/20/2018,6/29/2018,22882173,Contact,Customer Success,Walkthrough
253,6/20/2018,6/28/2018,22879916,Contact,Customer Success,Walkthrough
254,6/20/2018,6/29/2018,22882477,Contact,Customer Success,Walkthrough
255,6/27/2018,6/27/2018,22908640,Contact,Customer Success,Walkthrough
256,7/3/2018,7/20/2018,22926061,Contact,Customer Success,Walkthrough
257,6/21/2018,7/2/2018,22884926,Contact,Customer Success,Walkthrough
258,7/24/2018,7/30/2018,22987280,Contact,Customer Success,Walkthrough
259,6/25/2018,6/27/2018,22894608,Contact,Customer Success,Walkthrough
260,6/19/2018,6/21/2018,22878492,Contact,Customer Success,Walkthrough
261,6/19/2018,6/28/2018,22879093,Contact,Customer Success,Walkthrough
262,7/9/2018,7/12/2018,22941231,Contact,Customer Success,Walkthrough
263,7/11/2018,7/11/2018,22950590,Contact,Customer Success,Walkthrough
264,6/21/2018,7/2/2018,22884913,Contact,Customer Success,Walkthrough
265,6/26/2018,7/13/2018,22903968,Contact,Customer Success,Walkthrough
266,6/22/2018,7/6/2018,22892715,Contact,Customer Success,Walkthrough
267,7/5/2018,7/5/2018,22931597,Contact,Customer Success,Walkthrough
268,6/27/2018,6/27/2018,22905259,Reachback,Customer Success,Walkthrough
269,6/20/2018,6/27/2018,22882002,Contact,Customer Success,Walkthrough
270,6/21/2018,6/29/2018,22886714,Contact,Customer Success,Walkthrough
271,6/25/2018,7/13/2018,22898494,Contact,Customer Success,Walkthrough
272,6/27/2018,6/29/2018,22905984,Contact,Customer Success,Walkthrough
273,6/19/2018,7/10/2018,22878714,Contact,Customer Success,Walkthrough
274,7/16/2018,7/16/2018,22961647,Contact,Customer Success,Walkthrough
275,7/11/2018,7/30/2018,22948120,Contact,Customer Success,Walkthrough
276,7/2/2018,7/2/2018,22920264,Contact,Customer Success,Walkthrough
277,7/2/2018,7/2/2018,22921124,Contact,Customer Success,Walkthrough
278,6/25/2018,7/16/2018,22898719,Contact,Customer Success,Walkthrough
279,6/19/2018,6/28/2018,22878675,Contact,Customer Success,Walkthrough
280,6/19/2018,6/29/2018,22878698,Contact,Customer Success,Walkthrough
281,6/19/2018,6/27/2018,22878522,Contact,Customer Success,Walkthrough
282,6/26/2018,7/9/2018,22903418,Contact,Customer Success,Walkthrough
283,6/28/2018,6/28/2018,22910010,Contact,Customer Success,Walkthrough
284,6/21/2018,6/25/2018,22884983,Contact,Customer Success,Walkthrough
285,6/25/2018,6/27/2018,22894630,Contact,Customer Success,Walkthrough
286,6/20/2018,6/28/2018,22880203,Contact,Customer Success,Walkthrough
287,6/29/2018,7/19/2018,22915293,Reachback,Customer Success,Walkthrough
288,6/29/2018,6/29/2018,22915388,Contact,Customer Success,Walkthrough
289,6/25/2018,7/5/2018,22895246,Contact,Customer Success,Walkthrough
290,6/21/2018,7/3/2018,22888353,Contact,Customer Success,Walkthrough
291,6/21/2018,7/11/2018,22888341,Contact,Customer Success,Walkthrough
292,6/29/2018,7/11/2018,22914966,Contact,Customer Success,Walkthrough
293,6/20/2018,6/29/2018,22880978,Contact,Customer Success,Walkthrough
294,6/25/2018,7/16/2018,22895446,Contact,Customer Success,Walkthrough
295,6/28/2018,6/29/2018,22913037,Contact,Customer Success,Walkthrough
296,6/20/2018,7/3/2018,22883638,Contact,Customer Success,Walkthrough
297,6/28/2018,7/12/2018,22910551,Contact,Customer Success,Walkthrough
298,6/28/2018,7/11/2018,22913056,Contact,Customer Success,Walkthrough
299,6/25/2018,6/27/2018,22895635,Contact,Customer Success,Walkthrough
300,7/6/2018,7/6/2018,22933506,Contact,Customer Success,Walkthrough
301,6/22/2018,7/12/2018,22892662,Contact,Customer Success,Walkthrough
302,6/22/2018,7/6/2018,22891298,Contact,Customer Success,Walkthrough
303,6/25/2018,7/5/2018,22896961,Contact,Customer Success,Walkthrough
304,6/25/2018,7/5/2018,22896273,Contact,Customer Success,Walkthrough
305,6/26/2018,7/9/2018,22902192,Contact,Customer Success,Walkthrough
306,6/28/2018,7/10/2018,22909559,Contact,Customer Success,Walkthrough
307,7/5/2018,7/9/2018,22932377,Contact,Customer Success,Walkthrough
308,6/29/2018,7/10/2018,22917468,Contact,Customer Success,Walkthrough
309,7/5/2018,7/5/2018,22930407,Contact,Customer Success,Walkthrough
310,6/21/2018,6/22/2018,22888365,Contact,Customer Success,Walkthrough
311,7/2/2018,7/2/2018,22920204,Contact,Customer Success,Walkthrough
312,6/26/2018,7/5/2018,22900358,Contact,Customer Success,Walkthrough
313,6/25/2018,7/5/2018,22895253,Contact,Customer Success,Walkthrough
314,6/25/2018,6/25/2018,22894852,Contact,Customer Success,Walkthrough
315,7/9/2018,7/13/2018,22941154,Contact,Customer Success,Walkthrough
316,7/5/2018,7/5/2018,22930073,Contact,Customer Success,Walkthrough
317,7/11/2018,8/6/2018,22949140,Contact,Customer Success,Walkthrough
318,7/31/2018,8/2/2018,23008558,Contact,Customer Success,Walkthrough
319,6/29/2018,7/11/2018,22915219,Contact,Customer Success,Walkthrough
320,6/27/2018,7/25/2018,22908514,Reachback,Customer Success,Walkthrough
321,7/9/2018,7/9/2018,22940159,Contact,Customer Success,Walkthrough
322,7/16/2018,7/17/2018,22963800,Contact,Customer Success,Walkthrough
323,7/3/2018,7/3/2018,22924656,Contact,Customer Success,Walkthrough
324,6/25/2018,6/27/2018,22895416,Contact,Customer Success,Walkthrough
325,6/22/2018,7/20/2018,22890618,Reachback,Customer Success,Walkthrough
326,6/25/2018,7/5/2018,22895262,Contact,Customer Success,Walkthrough
327,7/5/2018,7/6/2018,22932395,Contact,Customer Success,Walkthrough
328,7/2/2018,7/23/2018,22923044,Contact,Customer Success,Walkthrough
329,7/13/2018,7/16/2018,22957633,Contact,Customer Success,Walkthrough
330,6/22/2018,7/25/2018,22890151,Contact,Customer Success,Walkthrough
331,6/22/2018,7/2/2018,22890275,Contact,Customer Success,Walkthrough
332,7/16/2018,7/16/2018,22960399,Contact,Customer Success,Walkthrough
333,6/26/2018,7/9/2018,22901721,Contact,Customer Success,Walkthrough
334,6/25/2018,7/3/2018,22895374,Contact,Customer Success,Walkthrough
335,6/21/2018,7/12/2018,22889353,Reachback,Customer Success,Walkthrough
336,7/5/2018,7/5/2018,22931125,Contact,Customer Success,Walkthrough
337,6/28/2018,7/12/2018,22909797,Contact,Customer Success,Walkthrough
338,6/26/2018,7/10/2018,22901708,Contact,Customer Success,Walkthrough
339,6/28/2018,7/11/2018,22911099,Contact,Customer Success,Walkthrough
340,7/3/2018,7/11/2018,22927160,Contact,Customer Success,Walkthrough
341,6/25/2018,7/11/2018,22898699,Contact,Customer Success,Walkthrough
342,6/27/2018,7/9/2018,22904762,Contact,Customer Success,Walkthrough
343,7/5/2018,7/5/2018,22929419,Contact,Customer Success,Walkthrough
344,6/25/2018,7/9/2018,22894891,Contact,Customer Success,Walkthrough
345,7/2/2018,7/5/2018,22919989,Contact,Customer Success,Walkthrough
346,6/22/2018,7/2/2018,22892718,Contact,Customer Success,Walkthrough
347,7/5/2018,7/6/2018,22929803,Contact,Customer Success,Walkthrough
348,7/3/2018,7/3/2018,22925621,Contact,Customer Success,Walkthrough
349,7/3/2018,7/3/2018,22926273,Contact,Customer Success,Walkthrough
350,6/28/2018,7/10/2018,22909779,Contact,Customer Success,Walkthrough
351,7/11/2018,7/17/2018,22947991,Contact,Customer Success,Walkthrough
352,6/29/2018,7/9/2018,22917318,Contact,Customer Success,Walkthrough
353,6/25/2018,7/5/2018,22898220,Contact,Customer Success,Walkthrough
354,7/5/2018,7/5/2018,22929726,Contact,Customer Success,Walkthrough
355,6/26/2018,7/27/2018,22903133,Reachback,Customer Success,Walkthrough
356,6/25/2018,7/10/2018,22895703,Contact,Customer Success,Walkthrough
357,6/25/2018,7/9/2018,22896108,Contact,Customer Success,Walkthrough
358,6/28/2018,7/9/2018,22914592,Contact,Customer Success,Walkthrough
359,6/25/2018,6/28/2018,22896665,Contact,Customer Success,Walkthrough
360,6/21/2018,7/2/2018,22887446,Contact,Customer Success,Walkthrough
361,7/6/2018,7/6/2018,22933517,Contact,Customer Success,Walkthrough
362,6/25/2018,7/5/2018,22895264,Contact,Customer Success,Walkthrough
363,6/28/2018,7/5/2018,22910597,Contact,Customer Success,Walkthrough
364,6/29/2018,7/9/2018,22917210,Contact,Customer Success,Walkthrough
365,6/29/2018,7/6/2018,22915249,Contact,Customer Success,Walkthrough
366,7/5/2018,7/5/2018,22931260,Contact,Customer Success,Walkthrough
367,6/29/2018,7/11/2018,22916847,Contact,Customer Success,Walkthrough
368,7/3/2018,7/11/2018,22927209,Contact,Customer Success,Walkthrough
369,6/28/2018,7/6/2018,22912775,Contact,Customer Success,Walkthrough
370,6/29/2018,8/9/2018,22915161,Reachback,Customer Success,Walkthrough
371,6/22/2018,7/5/2018,22890724,Contact,Customer Success,Walkthrough
372,6/22/2018,7/10/2018,22892798,Contact,Customer Success,Walkthrough
373,6/22/2018,7/2/2018,22892051,Contact,Customer Success,Walkthrough
374,6/22/2018,7/5/2018,22892569,Contact,Customer Success,Walkthrough
375,7/5/2018,7/25/2018,22929663,Reachback,Customer Success,Walkthrough
